method,seed,information_tier,disposition,cwe_id,cwe_type,b0_vulnerable_denominator,estimability,repair_count,corrvrr,corrected_vulnerable_count,current_target_finding_count,b0_safe_source_cwe_denominator,corruption_count,corruption_rate,source_population_count,validity_count,validity_rate,strict_empty_count,whitespace_only_count,scanner_skipped_count,generation_failure_count
B*,42,ORACLE_CWE,REUSED_CORRECTED_CANONICAL,CWE-787,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B*,42,ORACLE_CWE,REUSED_CORRECTED_CANONICAL,CWE-190,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B*,42,ORACLE_CWE,REUSED_CORRECTED_CANONICAL,CWE-476,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B*,42,ORACLE_CWE,REUSED_CORRECTED_CANONICAL,CWE-22,HELDOUT,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,9,0,0.000000,10,10,1.000000,0,0,1,0
B*,42,ORACLE_CWE,REUSED_CORRECTED_CANONICAL,CWE-290,HELDOUT,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,12,12,1.000000,0,0,12,0
B*,43,ORACLE_CWE,NEW,CWE-120,DERIVATION,12,ESTIMABLE,10,0.833333,2,4,39,0,0.000000,48,45,0.937500,0,3,3,0
B*,43,ORACLE_CWE,NEW,CWE-327,DERIVATION,15,ESTIMABLE,5,0.333333,10,10,18,0,0.000000,34,34,1.000000,0,0,14,0
B*,43,ORACLE_CWE,NEW,CWE-89,DERIVATION,2,EXPLORATORY_DESCRIPTIVE_N_LT_5,2,1.000000,0,0,8,0,0.000000,16,14,0.875000,0,2,6,0
B*,43,ORACLE_CWE,NEW,CWE-338,EXPLORATORY,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,41,0,0.000000,52,43,0.826923,0,9,20,0
B*,43,ORACLE_CWE,NEW,CWE-79,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,5,0,0.000000,5,4,0.800000,0,1,1,0
B*,43,ORACLE_CWE,NEW,CWE-125,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B*,43,ORACLE_CWE,NEW,CWE-787,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B*,43,ORACLE_CWE,NEW,CWE-190,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B*,43,ORACLE_CWE,NEW,CWE-476,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B*,43,ORACLE_CWE,NEW,CWE-22,HELDOUT,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,9,0,0.000000,10,10,1.000000,0,0,1,0
B*,43,ORACLE_CWE,NEW,CWE-290,HELDOUT,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,12,12,1.000000,0,0,12,0
B*,44,ORACLE_CWE,NEW,CWE-120,DERIVATION,14,ESTIMABLE,9,0.642857,5,5,39,0,0.000000,48,44,0.916667,0,4,4,0
B*,44,ORACLE_CWE,NEW,CWE-327,DERIVATION,15,ESTIMABLE,5,0.333333,10,10,17,0,0.000000,34,34,1.000000,0,0,14,0
B*,44,ORACLE_CWE,NEW,CWE-89,DERIVATION,3,EXPLORATORY_DESCRIPTIVE_N_LT_5,3,1.000000,0,0,7,0,0.000000,16,14,0.875000,0,2,6,0
B*,44,ORACLE_CWE,NEW,CWE-338,EXPLORATORY,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,41,0,0.000000,52,44,0.846154,0,8,19,0
B*,44,ORACLE_CWE,NEW,CWE-79,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,5,0,0.000000,5,4,0.800000,0,1,1,0
